id,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
2056,Mordialloc,1/460 Como Pde W,2,u,757000.0,S,Greg,16/09/2017,21.5,3195.0,,,,,,,Kingston City Council,,,South-Eastern Metropolitan,3650.0
2057,Mentone,83 Collins St,4,h,1530000.0,S,hockingstuart,17/03/2018,20.0,3194.0,4.0,3.0,1.0,635.0,,1933.0,Kingston City Council,-37.97967,145.06246000000004,South-Eastern Metropolitan,6162.0
2058,Abbotsford,18 Valiant St,3,h,1366000.0,S,Jellis,17/03/2018,3.0,3067.0,3.0,1.0,2.0,307.0,,1900.0,Yarra City Council,-37.80103,144.99929,Northern Metropolitan,4019.0
2059,Oakleigh South,14 Mimosa Av,3,h,1200500.0,S,Buxton,19/11/2016,14.7,3167.0,,,,,,,Kingston City Council,,,South-Eastern Metropolitan,3692.0
2060,Alphington,10/90 Yarralea St,1,u,320000.0,S,Miles,6/05/2017,6.4,3078.0,1.0,1.0,1.0,915.0,,,Darebin City Council,-37.7793,145.0327,Northern Metropolitan,2211.0
2061,Keilor East,17 Ronald Gr,3,h,763000.0,S,Nelson,17/02/2018,11.7,3033.0,3.0,2.0,2.0,286.0,166.0,2003.0,Brimbank City Council,-37.73775,144.86645,Western Metropolitan,5629.0
2062,Hoppers Crossing,9 Hawthorn Dr,3,h,505000.0,S,Sweeney,27/05/2017,18.4,3029.0,3.0,1.0,1.0,663.0,142.0,1995.0,Wyndham City Council,-37.86658,144.71221,Western Metropolitan,13830.0
2063,Ashburton,16a Nicholas St,3,h,1100000.0,PI,Marshall,8/10/2016,11.0,3147.0,3.0,3.0,2.0,276.0,178.0,2004.0,Boroondara City Council,-37.8699,145.0778,Southern Metropolitan,3052.0
2064,Roxburgh Park,9 Murray Wk,3,h,485000.0,S,Raine,7/10/2017,20.6,3064.0,,,,,,,Hume City Council,,,Northern Metropolitan,5833.0
2065,Templestowe,5/8 Innisfallen Av,3,t,1156000.0,S,Jellis,3/06/2017,15.5,3106.0,,,,,,,Manningham City Council,,,Eastern Metropolitan,6202.0
2066,Melbourne,5/27 Flinders La,1,u,575000.0,S,Woodards,25/11/2017,0.0,3000.0,,,,,,,Melbourne City Council,,,Northern Metropolitan,17496.0
2067,Box Hill,23 Merton St,3,h,1285000.0,S,Noel,25/11/2017,10.9,3128.0,,,,,,,Whitehorse City Council,,,Eastern Metropolitan,4605.0
2068,Malvern East,1281B Dandenong Rd,4,h,1215000.0,PI,Thomson,4/03/2017,11.2,3145.0,4.0,2.0,2.0,207.0,,,Stonnington City Council,-37.8845,145.072,Southern Metropolitan,8801.0
2069,Mount Waverley,54 Doynton Pde,4,h,1416000.0,S,Ray,16/09/2017,14.2,3149.0,4.0,3.0,2.0,,,,Monash City Council,-37.88253,145.14414,Eastern Metropolitan,13366.0
2070,Fitzroy,205/96 Charles St,1,u,490000.0,S,hockingstuart,15/07/2017,2.1,3065.0,1.0,1.0,1.0,0.0,57.0,2013.0,Yarra City Council,-37.80348,144.98256999999995,Northern Metropolitan,5825.0
2071,Fitzroy North,7/14 Rae St,1,u,358500.0,SP,Jellis,4/03/2017,3.5,3068.0,1.0,1.0,1.0,0.0,40.0,1975.0,Moreland City Council,-37.7925,144.9786,Northern Metropolitan,6244.0
2072,St Kilda,9/60 Carlisle St,2,u,615000.0,S,hockingstuart,17/06/2017,5.0,3182.0,2.0,1.0,1.0,1123.0,84.0,1920.0,Port Phillip City Council,-37.86736,144.98391,Southern Metropolitan,13240.0
2073,Keilor Downs,1/67 Lady Nelson Wy,3,h,506000.0,S,O'Brien,1/07/2017,15.5,3038.0,,,,,,,Brimbank City Council,,,Western Metropolitan,3656.0
2074,Templestowe Lower,12 MacEdon Ct,4,h,1495000.0,PI,Parkes,19/08/2017,12.4,3107.0,4.0,2.0,2.0,,265.0,2000.0,Manningham City Council,-37.75815,145.11514,Eastern Metropolitan,5420.0
2075,Bulleen,14 Kandanga Gr,3,h,1075000.0,S,Jellis,12/11/2016,11.8,3105.0,3.0,1.0,1.0,604.0,96.0,1960.0,Manningham City Council,-37.7711,145.0928,Eastern Metropolitan,4480.0
2076,Maribyrnong,12 Newstead St,4,h,1900000.0,VB,Nelson,17/09/2016,8.7,3032.0,4.0,3.0,8.0,865.0,374.0,2013.0,Maribyrnong City Council,-37.7682,144.8971,Western Metropolitan,4918.0
2077,Watsonia,4 French Ct,3,h,660000.0,S,Ken,3/12/2016,14.9,3087.0,3.0,1.0,0.0,583.0,124.0,1970.0,Banyule City Council,-37.7137,145.0778,Northern Metropolitan,2329.0
2078,Mount Evelyn,17 Inverness Rd,3,h,620000.0,VB,Max,24/06/2017,31.6,3796.0,3.0,1.0,4.0,2385.0,127.0,1930.0,Yarra Ranges Shire Council,-37.79977,145.37222,Eastern Victoria,3532.0
2079,Coburg,35 Campbell St,4,h,1331000.0,S,Jellis,28/08/2016,7.8,3058.0,3.0,2.0,2.0,394.0,,,Darebin City Council,-37.7534,144.9679,Northern Metropolitan,11204.0
2080,Yarraville,4 Regent St,4,h,1520000.0,VB,Jas,27/11/2016,7.0,3013.0,4.0,2.0,0.0,261.0,160.0,1910.0,Maribyrnong City Council,-37.8123,144.8888,Western Metropolitan,6543.0
2081,Northcote,1/78 Helen St,3,h,1010000.0,S,Nelson,15/10/2016,5.5,3070.0,3.0,1.0,1.0,178.0,124.0,2000.0,Darebin City Council,-37.771,144.9974,Northern Metropolitan,11364.0
2082,Carlton,27 Faraday St,2,h,1117000.0,S,Woodards,28/08/2016,1.8,3053.0,2.0,1.0,0.0,128.0,92.0,1890.0,Melbourne City Council,-37.7996,144.9737,Northern Metropolitan,6786.0
2083,Pascoe Vale,120 Derby St,3,h,750000.0,PI,Nelson,25/11/2017,8.5,3044.0,3.0,2.0,1.0,658.0,112.0,1950.0,Moreland City Council,-37.726,144.947,Northern Metropolitan,7485.0
2084,Sunshine North,52 Ferndale Rd,4,h,700000.0,PI,Bells,17/03/2018,10.5,3020.0,4.0,2.0,1.0,719.0,,,Brimbank City Council,-37.76645,144.83532,Western Metropolitan,4217.0
2085,West Footscray,4 Rupert St,4,h,1225000.0,PI,Jas,7/11/2016,8.2,3012.0,4.0,2.0,2.0,0.0,,,Maribyrnong City Council,-37.7992,144.8772,Western Metropolitan,5058.0
2086,Coburg,15 Bishop St,3,h,940500.0,S,Nelson,13/05/2017,7.8,3058.0,3.0,1.0,3.0,480.0,,,Darebin City Council,-37.7348,144.9509,Northern Metropolitan,11204.0
2087,Preston,191 Tyler St,3,h,950000.0,SP,Ray,4/06/2016,8.8,3072.0,3.0,1.0,2.0,563.0,180.0,1918.0,Darebin City Council,-37.7318,145.0192,Northern Metropolitan,14577.0
2088,Brunswick,2 Lillian St,3,h,820000.0,PI,Walshe,21/10/2017,5.2,3056.0,3.0,1.0,,,110.0,1920.0,Moreland City Council,-37.76078,144.966,Northern Metropolitan,11918.0
2089,Melbourne,506/23 Queens Rd,2,u,648000.0,S,Dingle,28/10/2017,0.0,3000.0,,,,,,,Melbourne City Council,,,Northern Metropolitan,17496.0
2090,Bentleigh East,15 Millis Av,4,h,1250000.0,VB,Buxton,16/09/2017,13.8,3165.0,4.0,2.0,2.0,,,,Glen Eira City Council,-37.92799,145.06435,Southern Metropolitan,10969.0
2091,Altona,4/57 Blyth St,3,u,730000.0,SP,Barlow,13/08/2016,13.8,3018.0,3.0,2.0,1.0,69.0,141.0,2014.0,Hobsons Bay City Council,-37.868,144.8286,Western Metropolitan,5301.0
2092,Brunswick West,5/1 Manica St,3,t,885000.0,S,McGrath,10/03/2018,5.2,3055.0,,,,,,,Moreland City Council,,,Northern Metropolitan,7082.0
2093,Murrumbeena,1 Clive St,3,h,1450000.0,VB,Gary,11/11/2017,10.1,3163.0,3.0,2.0,2.0,487.0,,1930.0,Glen Eira City Council,-37.88800000000001,145.075,Southern Metropolitan,4442.0
2094,Balwyn,108A Balwyn Rd,2,h,1008000.0,S,Ham,28/10/2017,7.9,3103.0,2.0,1.0,2.0,,,,Boroondara City Council,-37.81098,145.0819,Southern Metropolitan,5682.0
2095,Thornbury,56a Leinster Gr,3,t,1070000.0,S,Jellis,24/09/2016,6.5,3071.0,3.0,2.0,2.0,158.0,140.0,2007.0,Darebin City Council,-37.7588,144.9881,Northern Metropolitan,8870.0
2096,Malvern East,8 Ellison St,3,h,1479000.0,S,Fletchers,28/10/2017,8.4,3145.0,3.0,2.0,1.0,,,,Stonnington City Council,-37.87256,145.0662,Southern Metropolitan,8801.0
2097,Fitzroy,3/241 Napier St,3,h,1670000.0,PI,Nelson,11/11/2017,2.1,3065.0,,,,,,,Yarra City Council,,,Northern Metropolitan,5825.0
2098,Surrey Hills,3b Langford St,4,t,1280000.0,S,Hamilton,14/05/2016,11.2,3127.0,,,,,,,Boroondara City Council,,,Southern Metropolitan,5457.0
2099,Canterbury,13 Golding St,4,h,2100000.0,S,Noel,12/08/2017,8.4,3126.0,4.0,2.0,4.0,544.0,,,Boroondara City Council,-37.82794000000001,145.08435,Southern Metropolitan,3265.0
2100,Bentleigh East,28B Barrington St,3,t,1225000.0,S,hockingstuart,20/05/2017,13.9,3165.0,3.0,2.0,2.0,372.0,180.0,2008.0,Glen Eira City Council,-37.9127,145.0694,Southern Metropolitan,10969.0
2101,Sunbury,98 Wilsons La,3,h,465000.0,SP,Raine,9/12/2017,31.7,3429.0,3.0,1.0,1.0,566.0,115.0,1975.0,Hume City Council,-37.58059,144.69333,Western Metropolitan,14092.0
2102,Brunswick East,63 Harrison St,3,t,937000.0,SP,Jellis,8/07/2017,4.0,3057.0,3.0,2.0,1.0,110.0,121.8,2000.0,Moreland City Council,-37.76049,144.98065,Northern Metropolitan,5533.0
2103,Glen Iris,6 Chester St,3,h,1600000.0,VB,Fletchers,7/05/2016,9.2,3146.0,3.0,2.0,1.0,704.0,134.0,1940.0,Boroondara City Council,-37.852,145.0942,Southern Metropolitan,10412.0
2104,Hillside,83 Royal Cr,5,h,740000.0,S,Prof.,3/03/2018,18.0,3037.0,4.0,3.0,2.0,720.0,296.0,1998.0,Brimbank City Council,-37.68369000000001,144.74022,Western Metropolitan,5556.0
2105,Maidstone,1/28 Burns St,4,u,708000.0,S,Biggin,25/11/2017,6.4,3012.0,,,,,,,Maribyrnong City Council,,,Western Metropolitan,3873.0
2106,Diggers Rest,23 Shoring Rd,3,h,405000.0,PI,Brad,4/11/2017,27.7,3427.0,3.0,1.0,1.0,553.0,,,Hume City Council,-37.6229,144.7114,Western Metropolitan,1184.0
2107,Southbank,3303/9 Power St,2,u,800000.0,PI,Marshall,24/09/2016,1.2,3006.0,2.0,2.0,2.0,0.0,73.0,2014.0,Melbourne City Council,-37.8229,144.9612,Southern Metropolitan,8400.0
2108,Doncaster,3a Toronto Av,4,h,1740000.0,S,Jellis,8/04/2017,13.9,3108.0,,,,,,,Manningham City Council,,,Eastern Metropolitan,9028.0
2109,St Albans,6 Ravenna St,3,h,550000.0,VB,Westside,26/08/2017,14.0,3021.0,3.0,1.0,4.0,,,,Brimbank City Council,-37.74804,144.81958999999995,Western Metropolitan,14042.0
2110,Northcote,77 Union St,2,h,1634000.0,SP,Nelson,28/08/2016,5.5,3070.0,2.0,1.0,2.0,376.0,109.0,1920.0,Darebin City Council,-37.7789,144.9952,Northern Metropolitan,11364.0
2111,Gladstone Park,7 Rodwell Pl,4,h,615000.0,SP,Raine,3/03/2018,12.9,3043.0,4.0,2.0,4.0,557.0,,,Hume City Council,-37.68187,144.88881999999995,Western Metropolitan,3285.0
2112,South Yarra,30 Palermo St,4,h,3030000.0,S,Thomson,17/02/2018,2.7,3141.0,4.0,1.0,1.0,436.0,139.0,1905.0,Melbourne City Council,-37.84197,144.99698,Southern Metropolitan,14887.0
2113,Westmeadows,12 Tylden Pl,3,h,729000.0,S,Nelson,12/08/2017,16.5,3049.0,3.0,1.0,1.0,672.0,,,Hume City Council,-37.6784,144.88797,Northern Metropolitan,2474.0
2114,Point Cook,3/41 Hyde Park Tce,3,t,473000.0,S,Reliance,10/02/2018,14.7,3030.0,,,,,,,Wyndham City Council,,,Western Metropolitan,15542.0
2115,Frankston,9 Darius Av,5,h,650000.0,S,Ash,3/06/2017,38.0,3199.0,,,,,,,Frankston City Council,,,South-Eastern Metropolitan,17055.0
2116,Essendon,49 Albion St,3,h,1134000.0,S,Barry,17/09/2016,8.0,3040.0,3.0,1.0,1.0,551.0,114.0,1950.0,Moonee Valley City Council,-37.7571,144.9335,Western Metropolitan,9264.0
2117,Balwyn North,2/43 Sutton St,3,h,1275000.0,VB,Fletchers,1/07/2017,9.7,3104.0,3.0,2.0,2.0,226.0,127.0,1965.0,Boroondara City Council,-37.79495,145.08192,Southern Metropolitan,7809.0
2118,Collingwood,60 Keele St,3,h,2330000.0,S,Woodards,3/03/2018,2.0,3066.0,3.0,2.0,2.0,178.0,,,Yarra City Council,-37.79709,144.98808,Northern Metropolitan,4553.0
2119,Pascoe Vale,7 Coane St,4,h,1350000.0,PI,Nelson,19/11/2016,9.9,3044.0,4.0,2.0,2.0,646.0,287.0,1995.0,Moreland City Council,-37.7256,144.9383,Northern Metropolitan,7485.0
2120,Brunswick,42 Stewart St,2,h,970000.0,S,Nelson,6/01/2018,5.2,3056.0,2.0,1.0,0.0,241.0,113.0,1910.0,Moreland City Council,-37.76392,144.9662,Northern Metropolitan,11918.0
2121,Hampton,15 May St,4,h,1820000.0,PI,Follett,16/09/2017,13.8,3188.0,4.0,2.0,2.0,412.0,423.0,1940.0,Bayside City Council,-37.93598,145.01152,Southern Metropolitan,5454.0
2122,Burwood,23 Monica St,3,h,990000.0,VB,Fletchers,17/09/2016,11.7,3125.0,3.0,2.0,2.0,263.0,,,Monash City Council,,,Southern Metropolitan,5678.0
2123,Greenvale,12 Taormina St,3,h,550000.0,VB,Barry,27/05/2017,20.4,3059.0,3.0,2.0,2.0,392.0,,2013.0,Hume City Council,-37.62458,144.88546000000005,Northern Metropolitan,4864.0
2124,Eaglemont,78 Studley Rd,3,h,1250000.0,VB,Miles,17/03/2018,8.9,3084.0,3.0,2.0,1.0,529.0,,,Banyule City Council,-37.76248,145.05423000000005,Eastern Metropolitan,1651.0
2125,Northcote,4 Jeffrey St,3,h,1225000.0,VB,McGrath,17/03/2018,5.3,3070.0,3.0,1.0,1.0,222.0,108.0,1900.0,Darebin City Council,-37.78323,145.00957,Northern Metropolitan,11364.0
2126,Fairfield,220 Wingrove St,3,h,1225000.0,S,Nelson,18/11/2017,5.7,3078.0,3.0,2.0,2.0,338.0,,,Darebin City Council,-37.7788,145.019,Northern Metropolitan,2970.0
2127,Glenroy,24 Trevannion St,3,h,711500.0,S,Stockdale,10/12/2016,13.0,3046.0,3.0,1.0,3.0,667.0,81.0,1950.0,Moreland City Council,-37.7005,144.9185,Northern Metropolitan,8870.0
2128,Craigieburn,28 Creekbridge St,4,h,585000.0,S,Barry,17/02/2018,20.6,3064.0,4.0,2.0,2.0,375.0,,,Hume City Council,-37.59091,144.8955,Northern Metropolitan,15510.0
2129,Strathmore,82 Strathnaver Av,4,h,1055000.0,S,Frank,3/09/2016,9.7,3041.0,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3284.0
2130,St Albans,2/4 Levenia St,2,u,423000.0,S,Raine,14/10/2017,14.0,3021.0,,,,,,,Brimbank City Council,,,Western Metropolitan,14042.0
2131,Ashwood,2/7 Murra Ct,3,h,860000.0,S,Purplebricks,17/06/2017,10.2,3147.0,3.0,2.0,2.0,280.0,115.0,1990.0,Monash City Council,-37.87105,145.10198,Southern Metropolitan,2894.0
2132,Glenroy,101 Evell St,3,h,690000.0,SP,YPA,13/05/2017,13.0,3046.0,3.0,1.0,2.0,650.0,,,Moreland City Council,-37.699,144.9421,Northern Metropolitan,8870.0
2133,Keilor East,71 Noga Av,3,h,891000.0,S,Nelson,16/07/2016,12.8,3033.0,,,,,,,Brimbank City Council,,,Western Metropolitan,5629.0
2134,Mill Park,53 Romano Av,5,h,598000.0,S,Ray,8/07/2017,17.9,3082.0,5.0,3.0,1.0,531.0,122.0,1990.0,Whittlesea City Council,-37.65116,145.05438999999996,Northern Metropolitan,10529.0
2135,Ashwood,22 Carlyle St,3,h,1554000.0,S,hockingstuart,24/02/2018,10.2,3147.0,3.0,2.0,4.0,698.0,154.0,1945.0,Monash City Council,-37.86131,145.09638,Southern Metropolitan,2894.0
2136,Heathmont,1/270 Canterbury Rd,3,t,710000.0,S,Noel,16/09/2017,21.3,3135.0,3.0,2.0,2.0,,133.0,2009.0,Maroondah City Council,-37.83271,145.23506,Eastern Metropolitan,3794.0
2137,Coburg North,24 Irene St,2,h,570000.0,S,Ray,14/05/2016,9.2,3058.0,,,,,,,Darebin City Council,,,Northern Metropolitan,3445.0
2138,West Footscray,15 Rupert St,4,h,1325000.0,S,hockingstuart,8/04/2017,8.2,3012.0,4.0,2.0,4.0,525.0,188.0,1930.0,Maribyrnong City Council,-37.7994,144.8763,Western Metropolitan,5058.0
2139,Canterbury,47 Warburton Rd,3,h,1680000.0,S,Fletchers,17/09/2016,9.0,3126.0,3.0,2.0,1.0,325.0,197.0,1910.0,Boroondara City Council,-37.826,145.0729,Southern Metropolitan,3265.0
2140,Brighton,8 Southey St,3,t,1762000.0,S,Buxton,17/09/2016,11.2,3186.0,3.0,2.0,2.0,483.0,,,Bayside City Council,-37.9075,145.0064,Southern Metropolitan,10579.0
2141,Toorak,6/187 Kooyong Rd,3,u,1000000.0,VB,Kay,19/08/2017,4.1,3142.0,3.0,2.0,1.0,,,1960.0,Stonnington City Council,-37.84513,145.02225,Southern Metropolitan,7217.0
2142,Ascot Vale,75 Maribyrnong Rd,6,h,2250000.0,PI,Jellis,13/05/2017,5.9,3032.0,6.0,3.0,2.0,1012.0,435.0,1887.0,Moonee Valley City Council,-37.7721,144.9184,Western Metropolitan,6567.0
2143,Sydenham,23 Contursi Dr,3,h,585000.0,S,Prof.,29/07/2017,18.0,3037.0,3.0,2.0,2.0,662.0,232.0,2004.0,Brimbank City Council,-37.70525,144.75699,Western Metropolitan,3640.0
2144,Greensborough,18 Wanbanna Av,3,h,760000.0,S,Morrison,6/01/2018,16.1,3088.0,3.0,1.0,2.0,576.0,,,Banyule City Council,-37.68971,145.09736,Northern Metropolitan,8524.0
2145,Seaford,7 Saxil Ct,3,h,635000.0,S,Ray,6/01/2018,35.4,3198.0,3.0,1.0,2.0,627.0,,1980.0,Frankston City Council,-38.10421,145.14688,South-Eastern Metropolitan,8077.0
2146,Melbourne,433/67 Spencer St,1,u,480000.0,VB,LJ,25/11/2017,0.0,3000.0,,,,,,,Melbourne City Council,,,Northern Metropolitan,17496.0
2147,Murrumbeena,2/1248 Dandenong Rd,3,t,1100000.0,S,Jellis,16/09/2017,10.1,3163.0,3.0,2.0,2.0,,,,Glen Eira City Council,-37.88563,145.07261,Southern Metropolitan,4442.0
2148,Wantirna South,11 Reita Av,3,h,935000.0,S,Stockdale,7/10/2017,14.7,3152.0,3.0,2.0,2.0,,,,Knox City Council,-37.87993,145.24154,Eastern Metropolitan,7082.0
2149,Aberfeldie,48 Fawkner St,4,h,1905000.0,SP,Brad,21/10/2017,7.5,3040.0,4.0,2.0,2.0,797.0,26.0,1930.0,Moonee Valley City Council,-37.75857,144.89571999999995,Western Metropolitan,1543.0
2150,Eltham,1 Batman Rd,3,h,986000.0,S,Jellis,11/11/2017,18.0,3095.0,,,,,,,Banyule City Council,,,Eastern Metropolitan,6990.0
2151,Essendon,4/37 Miller St,3,t,672500.0,S,Nelson,3/03/2018,7.5,3040.0,,,,,,,Moonee Valley City Council,,,Western Metropolitan,9264.0
2152,Balwyn North,8a Sylvan St,4,h,1300000.0,VB,Jellis,27/06/2016,9.2,3104.0,,,,,,,Boroondara City Council,,,Southern Metropolitan,7809.0
2153,Murrumbeena,52 Wallace Av,2,h,1416000.0,S,hockingstuart,22/04/2017,12.1,3163.0,,,,,,,Glen Eira City Council,,,Southern Metropolitan,4442.0
2154,Airport West,244 Parer Rd,3,h,740000.0,VB,Nelson,25/11/2017,10.4,3042.0,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464.0
2155,Lalor,60 Dickens St,3,h,798000.0,SA,Harcourts,22/07/2017,16.3,3075.0,3.0,1.0,2.0,806.0,,1964.0,Whittlesea City Council,-37.66871,145.01,Northern Metropolitan,8279.0
2156,Armadale,14 Barkly Av,3,t,1835000.0,S,Marshall,13/05/2017,6.3,3143.0,,,,,,,Stonnington City Council,,,Southern Metropolitan,4836.0
2157,Hoppers Crossing,10 Harris Av,3,h,505000.0,S,LJ,6/01/2018,18.4,3029.0,3.0,1.0,1.0,552.0,112.0,1990.0,Wyndham City Council,-37.87401,144.69803000000005,Western Metropolitan,13830.0
2158,Altona North,1/28 Irwin Av,3,u,640000.0,VB,hockingstuart,7/11/2016,11.1,3025.0,,,,,,,Hobsons Bay City Council,,,Western Metropolitan,5132.0
2159,St Kilda,71 Carlisle St,3,h,1030000.0,S,Jellis,28/05/2016,6.1,3182.0,3.0,1.0,1.0,292.0,,,Port Phillip City Council,-37.8677,144.984,Southern Metropolitan,13240.0
2160,Airport West,20 Bedford St,3,h,693000.0,S,Nelson,10/02/2018,10.4,3042.0,3.0,1.0,1.0,,,,Moonee Valley City Council,-37.72069000000001,144.87913,Western Metropolitan,3464.0
2161,Maribyrnong,1 Jetty La,4,h,1156000.0,S,Brad,18/11/2017,4.3,3032.0,4.0,2.0,2.0,,,,Maribyrnong City Council,-37.786,144.8982,Western Metropolitan,4918.0
2162,Brighton,95 Cochrane St,4,h,3295888.0,S,Hodges,15/10/2016,11.2,3186.0,4.0,3.0,2.0,565.0,337.0,1990.0,Bayside City Council,-37.8975,144.9991,Southern Metropolitan,10579.0
2163,Brunswick,3/36 Dunstan Av,2,t,677000.0,S,Joseph,4/06/2016,5.2,3056.0,,,,,,,Moreland City Council,,,Northern Metropolitan,11918.0
2164,Melbourne,1204/82 Queens Rd,2,u,585000.0,PI,Jellis,13/08/2016,2.8,3000.0,,,,,,,Melbourne City Council,,,Northern Metropolitan,17496.0
2165,Melbourne,17/17 Queens Rd,1,u,510000.0,VB,Whiting,22/07/2017,0.0,3000.0,,,,,,,Melbourne City Council,,,Northern Metropolitan,17496.0
2166,Moonee Ponds,31 Bowen St,2,h,860000.0,S,Nelson,11/02/2017,6.9,3039.0,2.0,1.0,1.0,301.0,80.0,1920.0,Moonee Valley City Council,-37.7695,144.9092,Western Metropolitan,6232.0
2167,MacLeod,2/40 Edward St,3,u,760000.0,S,Darren,17/02/2018,12.7,3085.0,,,,,,,Banyule City Council,,,Northern Metropolitan,4168.0
2168,Preston,198 Raglan St,2,h,910000.0,SP,Nelson,18/03/2017,8.8,3072.0,2.0,2.0,1.0,352.0,103.0,1950.0,Darebin City Council,-37.7495,145.0092,Northern Metropolitan,14577.0
2169,Caulfield North,12/378 Dandenong Rd,2,u,580000.0,SP,Abercromby's,4/03/2017,8.1,3161.0,2.0,1.0,1.0,934.0,68.0,2012.0,Glen Eira City Council,-37.8607,145.0116,Southern Metropolitan,6923.0
2170,Werribee,16 Allunga Wy,4,h,660000.0,S,hockingstuart,17/02/2018,14.7,3030.0,4.0,2.0,2.0,390.0,282.0,2017.0,Wyndham City Council,-37.90335,144.61119,Western Metropolitan,16166.0
2171,Taylors Lakes,1 Cowes Pl,4,h,853000.0,S,Barry,15/07/2017,15.5,3038.0,4.0,3.0,2.0,724.0,330.0,1990.0,Brimbank City Council,-37.70941,144.7873,Western Metropolitan,5336.0
2172,Highett,9a Edsall St,3,u,980000.0,S,Maitland,11/11/2017,16.0,3190.0,3.0,2.0,4.0,,,,Bayside City Council,-37.956,145.0542,Southern Metropolitan,4794.0
2173,Thornbury,106 Normanby Av,4,h,1320000.0,S,Nelson,24/06/2017,7.0,3071.0,,,,,,,Darebin City Council,,,Northern Metropolitan,8870.0
2174,Glen Waverley,9 Dorset St,4,t,1170000.0,S,Ray,9/09/2017,16.7,3150.0,4.0,3.0,2.0,725.0,,1936.0,Monash City Council,-37.89868,145.14635,Eastern Metropolitan,15321.0
2175,Brunswick West,81 Melville Rd,3,h,793000.0,S,Ray,10/12/2016,5.9,3055.0,3.0,1.0,0.0,275.0,119.0,1935.0,Moreland City Council,-37.76300000000001,144.9439,Northern Metropolitan,7082.0
2176,Hampton,108 Orlando St,3,t,2200000.0,VB,Marshall,3/12/2016,13.7,3188.0,3.0,2.0,3.0,1402.0,,,Bayside City Council,-37.9347,144.9963,Southern Metropolitan,5454.0
2177,Ashwood,13 Maroondah Rd,5,h,1975000.0,S,Buxton/Marshall,24/02/2018,10.2,3147.0,5.0,5.0,2.0,725.0,,,Monash City Council,-37.86486,145.1113,Southern Metropolitan,2894.0
2178,West Melbourne,4/593 Spencer St,2,u,705000.0,S,MICM,3/09/2017,3.1,3003.0,2.0,1.0,2.0,,,2005.0,Melbourne City Council,-37.80704,144.94632,Northern Metropolitan,2230.0
2179,Richmond,311/45 York St,2,u,575000.0,S,Collins,3/09/2017,2.4,3121.0,2.0,1.0,1.0,,67.0,2012.0,Yarra City Council,-37.813,144.99303,Northern Metropolitan,14949.0
2180,Mitcham,2/4 Coppin Cl,3,t,890000.0,S,Ray,9/09/2017,17.2,3132.0,,,,,,,Whitehorse City Council,,,Eastern Metropolitan,6871.0
2181,Collingwood,8/115 Oxford St,2,u,800000.0,VB,Nelson,25/02/2017,1.6,3066.0,2.0,1.0,1.0,0.0,91.0,1900.0,Yarra City Council,-37.8026,144.9848,Northern Metropolitan,4553.0
2182,Black Rock,1/565 Balcombe Rd,2,u,767000.0,SP,Chisholm,3/06/2017,17.3,3193.0,2.0,1.0,2.0,206.0,,1970.0,Bayside City Council,-37.97614,145.02014,Southern Metropolitan,2866.0
2183,Bentleigh,4/2 Jasper Rd,2,t,620000.0,SP,McGrath,8/04/2017,13.0,3204.0,2.0,2.0,1.0,0.0,,2012.0,Glen Eira City Council,-37.9329,145.0393,Southern Metropolitan,6795.0
2184,Williamstown,4 McGuire Cr,3,h,1150000.0,SP,Williams,17/03/2018,6.8,3016.0,3.0,2.0,2.0,270.0,150.0,1998.0,Hobsons Bay City Council,-37.85681,144.87528999999995,Western Metropolitan,6380.0
2185,Coburg,36 Walsh St,2,h,870000.0,S,Barry,18/11/2017,6.7,3058.0,2.0,1.0,1.0,368.0,,,Darebin City Council,-37.7484,144.9692,Northern Metropolitan,11204.0
2186,Knoxfield,36 Laura Rd,5,h,795000.0,S,Ray,17/03/2018,23.3,3180.0,,,,,,,Knox City Council,,,Eastern Metropolitan,2949.0
2187,Hoppers Crossing,5 Mossfiel Dr,3,h,660000.0,S,Barry,18/11/2017,18.4,3029.0,3.0,1.0,2.0,580.0,,,Wyndham City Council,-37.8781,144.6951,Western Metropolitan,13830.0
2188,Hawthorn East,2/31 Rathmines Rd,3,t,1375000.0,S,Jellis,19/08/2017,6.2,3123.0,3.0,2.0,2.0,,,1962.0,Boroondara City Council,-37.81949,145.04811,Southern Metropolitan,6482.0
2189,Coburg North,13 Norris St,2,h,730000.0,VB,Brad,6/01/2018,6.7,3058.0,2.0,1.0,1.0,390.0,91.0,1950.0,Darebin City Council,-37.72481,144.96085,Northern Metropolitan,3445.0
2190,St Kilda,3/7 Lambeth Pl,2,u,590000.0,S,Buxton/Advantage,12/11/2016,6.1,3182.0,,,,,,,Port Phillip City Council,,,Southern Metropolitan,13240.0
2191,South Melbourne,4 Anderson St,5,h,4500000.0,VB,Marshall,26/08/2017,1.9,3205.0,5.0,3.0,1.0,,179.0,1880.0,Port Phillip City Council,-37.84008,144.95976000000005,Southern Metropolitan,5943.0
